"Report date","Week #","Week ","MA","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"34720.0","2.0","34713.0","8388.0","","","","","","","","","","","",""
"34727.0","3.0","34720.0","7981.0","","","","","","","","","","","",""
"34734.0","4.0","34727.0","8312.0","","","","","","","","","","","",""
"34741.0","5.0","34734.0","8369.0","","","","","","","","","","","",""
"34748.0","6.0","34741.0","7034.0","","","","","","","","","","","",""
"34755.0","7.0","34748.0","10448.0","","","","","","","","","","","",""
"34762.0","8.0","34755.0","6976.0","","","","","","","","","","","",""
"34769.0","9.0","34762.0","6590.0","","","","","","","","","","","",""
"34776.0","10.0","34769.0","6526.0","","","","","","","","","","","",""
"34783.0","11.0","34776.0","6038.0","","","","","","","","","","","",""
"34790.0","12.0","34783.0","5824.0","","","","","","","","","","","",""
"34797.0","13.0","34790.0","6943.0","","","","","","","","","","","",""
"34804.0","14.0","34797.0","5813.0","","","","","","","","","","","",""
"34811.0","15.0","34804.0","9643.0","","","","","","","","","","","",""
"34818.0","16.0","34811.0","5723.0","","","","","","","","","","","",""
"34825.0","17.0","34818.0","6295.0","","","","","","","","","","","",""
"34832.0","18.0","34825.0","5782.0","","","","","","","","","","","",""
"34839.0","19.0","34832.0","6174.0","","","","","","","","","","","",""
"34846.0","20.0","34839.0","6228.0","","","","","","","","","","","",""
"34853.0","21.0","34846.0","5895.0","","","","","","","","","","","",""
"34860.0","22.0","34853.0","6441.0","","","","","","","","","","","",""
"34867.0","23.0","34860.0","6555.0","","","","","","","","","","","",""
"34874.0","24.0","34867.0","9911.0","","","","","","","","","","","",""
"34881.0","25.0","34874.0","9507.0","","","","","","","","","","","",""
"34888.0","26.0","34881.0","9736.0","","","","","","","","","","","",""
"34895.0","27.0","34888.0","7351.0","","","","","","","","","","","",""
"34902.0","28.0","34895.0","6304.0","","","","","","","","","","","",""
"34909.0","29.0","34902.0","5306.0","","","","","","","","","","","",""
"34916.0","30.0","34909.0","5754.0","","","","","","","","","","","",""
"34923.0","31.0","34916.0","5833.0","","","","","","","","","","","",""
"34930.0","32.0","34923.0","5489.0","","","","","","","","","","","",""
"34937.0","33.0","34930.0","5238.0","","","","","","","","","","","",""
"34944.0","34.0","34937.0","5408.0","","","","","","","","","","","",""
"34951.0","35.0","34944.0","5845.0","","","","","","","","","","","",""
"34958.0","36.0","34951.0","5554.0","","","","","","","","","","","",""
"34965.0","37.0","34958.0","5329.0","","","","","","","","","","","",""
"34972.0","38.0","34965.0","5047.0","","","","","","","","","","","",""
"34979.0","39.0","34972.0","6204.0","","","","","","","","","","","",""
"34986.0","40.0","34979.0","5352.0","","","","","","","","","","","",""
"34993.0","41.0","34986.0","6189.0","","","","","","","","","","","",""
"35000.0","42.0","34993.0","6091.0","","","","","","","","","","","",""
"35007.0","43.0","35000.0","7727.0","","","","","","","","","","","",""
"35014.0","44.0","35007.0","6979.0","","","","","","","","","","","",""
"35021.0","45.0","35014.0","7766.0","","","","","","","","","","","",""
"35028.0","46.0","35021.0","7381.0","","","","","","","","","","","",""
"35035.0","47.0","35028.0","8417.0","","","","","","","","","","","",""
"35042.0","48.0","35035.0","9171.0","","","","","","","","","","","",""
"35049.0","49.0","35042.0","12116.0","","","","","","","","","","","",""
"35056.0","50.0","35049.0","12604.0","","","","","","","","","","","",""
"35063.0","51.0","35056.0","17359.0","","","","","","","","","","","",""
"35070.0","52.0","35063.0","10571.0","","","","","","","","","","","",""
"35077.0","1.0","35070.0","11939.0","","","","","","","","","","","",""
"35084.0","2.0","35077.0","9046.0","","","","","","","","","","","",""
"35091.0","3.0","35084.0","8420.0","","","","","","","","","","","",""
"35098.0","4.0","35091.0","7705.0","","","","","","","","","","","",""
"35105.0","5.0","35098.0","8555.0","","","","","","","","","","","",""
"35112.0","6.0","35105.0","6838.0","","","","","","","","","","","",""
"35119.0","7.0","35112.0","10408.0","","","","","","","","","","","",""
"35126.0","8.0","35119.0","6146.0","","","","","","","","","","","",""
"35133.0","9.0","35126.0","6404.0","","","","","","","","","","","",""
"35140.0","10.0","35133.0","7030.0","","","","","","","","","","","",""
"35147.0","11.0","35140.0","6039.0","","","","","","","","","","","",""
"35154.0","12.0","35147.0","5144.0","","","","","","","","","","","",""
"35161.0","13.0","35154.0","6479.0","","","","","","","","","","","",""
"35168.0","14.0","35161.0","6348.0","","","","","","","","","","","",""
"35175.0","15.0","35168.0","8960.0","","","","","","","","","","","",""
"35182.0","16.0","35175.0","5490.0","","","","","","","","","","","",""
"35189.0","17.0","35182.0","5382.0","","","","","","","","","","","",""
"35196.0","18.0","35189.0","5572.0","","","","","","","","","","","",""
"35203.0","19.0","35196.0","5044.0","","","","","","","","","","","",""
"35210.0","20.0","35203.0","5586.0","","","","","","","","","","","",""
"35217.0","21.0","35210.0","5046.0","","","","","","","","","","","",""
"35224.0","22.0","35217.0","5908.0","","","","","","","","","","","",""
"35231.0","23.0","35224.0","5401.0","","","","","","","","","","","",""
"35238.0","24.0","35231.0","6142.0","","","","","","","","","","","",""
"35245.0","25.0","35238.0","9403.0","","","","","","","","","","","",""
"35252.0","26.0","35245.0","9930.0","","","","","","","","","","","",""
"35259.0","27.0","35252.0","7129.0","","","","","","","","","","","",""
"35266.0","28.0","35259.0","5601.0","","","","","","","","","","","",""
"35273.0","29.0","35266.0","4935.0","","","","","","","","","","","",""
"35280.0","30.0","35273.0","4923.0","","","","","","","","","","","",""
"35287.0","31.0","35280.0","5111.0","","","","","","","","","","","",""
"35294.0","32.0","35287.0","5129.0","","","","","","","","","","","",""
"35301.0","33.0","35294.0","4944.0","","","","","","","","","","","",""
"35308.0","34.0","35301.0","4870.0","","","","","","","","","","","",""
"35315.0","35.0","35308.0","5061.0","","","","","","","","","","","",""
"35322.0","36.0","35315.0","5017.0","","","","","","","","","","","",""
